"gene" "delta_mean" "pooled_sd" "effect_size" "confidence_interval_95_lower" "confidence_interval_95_upper" "abs_effect_ntile" "logFC" "t.ord" "t.mod" "p.ord" "p.mod" "q.ord" "q.mod" "df.r" "df.0" "s2.0" "s2" "s2.post" "protein"
"AHCY" 2.17134614611053 1.07005543996346 -2.02919032511501 -2.94103199078342 -1.1173486594466 98 2.22750164988925 5.4581831755307 5.71371753830886 6.38924258163e-06 2.12544985205553e-06 4.676134956138e-05 2.10434423068608e-05 30 3.52904206673877 0.193722553388551 1.14501864459539 1.04489159899979 "P23526"
"AHSG" 0.302512078276662 0.417629915820276 0.724354426771585 -0.0560055200066262 1.5047143735498 46 -0.310335666507954 -1.94839246786857 -1.93713976556726 0.0607760797748107 0.0611908599949173 0.0235455324053898 0.0233100686460573 30 3.52904206673877 0.193722553388551 0.174414746588051 0.176446956821788 "P02765"
"ALAD" 2.43501313573658 1.38254029641154 -1.76126015426588 -2.63793864748353 -0.884581661048227 93 2.49798761338494 4.73749575028245 4.97880589199147 4.88450444766484e-05 1.89094987035757e-05 0.000128410754364741 6.72834232095818e-05 30 3.52904206673877 0.193722553388551 1.9114176712017 1.73062460480486 "P13716"
"ALB" 0.539853805017442 0.703169574026152 0.767743407790513 -0.015181071396231 1.55066788697726 49 -0.553815541354099 -2.06510158246949 -2.13455369442771 0.0476485127419204 0.0401945677662918 0.0195029043506187 0.0166602099045208 30 3.52904206673877 0.193722553388551 0.49444744983612 0.462795164394541 "P02768"
"ALCAM" 0.110506344288471 0.319400028367907 0.3459810096234 -0.418141141013536 1.11010316026034 21 -0.113364266985587 -0.930631149974823 -0.889501527832136 0.359473274983155 0.380071431762383 0.0952346027501878 0.0976276106994082 30 3.52904206673877 0.193722553388551 0.10201637812142 0.111668754996764 "Q13740"
"ALDH1A1" 2.01494291742763 1.04306916102222 -1.93174431065813 -2.83038405534963 -1.03310456596663 96 2.06705351011972 5.19606966648817 5.43655321228822 1.33905515184002e-05 4.84972388403328e-06 6.88711013304268e-05 3.07915174443851e-05 30 3.52904206673877 0.193722553388551 1.0879932746756 0.993868337011322 "P00352"
"ALDOA" 1.30977080762114 0.648687943264128 -2.01910767915696 -2.92956227779444 -1.10865308051948 97 1.34364419057686 5.43106254132902 5.59219581660344 6.89720535001653e-06 3.05137408188404e-06 4.676134956138e-05 2.47331093414022e-05 30 3.52904206673877 0.193722553388551 0.420796047736245 0.396895814851592 "P04075"
"ALDOC" 0.428066777162745 0.289543003359737 -1.4784221072367 -2.3221178584537 -0.634726356019705 83 0.439137469675574 3.97670862716865 3.72786361173817 0.000407071528890335 0.000711323905192091 0.000501789904037813 0.000644610384476412 30 3.52904206673877 0.193722553388551 0.0838351507945764 0.0954011617049655 "P09972"
"AMBP" 0.17213498850471 0.676996635225669 -0.254262694300291 -1.01615078059246 0.507625391991883 16 0.176586755448797 0.683924195290207 0.705701275528952 0.499272252808537 0.485248530016167 0.122623533752733 0.117996397313903 30 3.52904206673877 0.193722553388551 0.458324444106878 0.430474223947742 "P02760"
"AMY2B" 0.398036319866979 0.457315032857674 0.870376635947709 0.0808311991109008 1.65992207278452 54 -0.408330362622159 -2.34116783029484 -2.35030206589686 0.0260599473941374 0.0247871365998807 0.0118867284960223 0.011231202506405 30 3.52904206673877 0.193722553388551 0.209137039277616 0.207514613887968 "P19961"
"ANG" 0.171612217857083 0.470572802412206 -0.364687922840803 -1.12934858265991 0.399972736978307 23 0.176050464870629 0.980949623173517 0.987475663274762 0.334462743085947 0.330482361945789 0.0905383779422149 0.0875089467048439 30 3.52904206673877 0.193722553388551 0.221438762370077 0.218521540123416 "P03950"
"ANPEP" 0.147597101137136 0.440454726425299 0.335101639923413 -0.428720203642521 1.09892348348935 21 -0.151414267545855 -0.90136746193044 -0.901435398892591 0.374572759844806 0.373786823052442 0.0985348121745476 0.0961826410195889 30 3.52904206673877 0.193722553388551 0.194000366030385 0.193971125335177 "P15144"
"AOC3" 0.0603002250171287 0.463123553841764 -0.13020332159079 -0.890150569749351 0.62974392656777 7 0.061859713595158 0.350225195985392 0.352022986061957 0.728616796955829 0.727024008852131 0.161241133853479 0.157315001842869 30 3.52904206673877 0.193722553388551 0.214483426123025 0.212298275915741 "Q16853"
"APCS" 1.59254091105159 1.02488414845758 -1.55387407781486 -2.40592491066185 -0.701823244967865 86 1.63372731392362 4.17966183036165 4.37149903628214 0.000232540233205383 0.000112896343573685 0.00034684438227356 0.000186132894217366 30 3.52904206673877 0.193722553388551 1.05038751775962 0.960220709821921 "P02743"
"APEH" 1.68590094926087 1.29074742567751 -1.30614318163443 -2.13204602492879 -0.480240338340056 74 1.72950183587969 3.51330708144743 3.68906217056089 0.00142551345480296 0.000792724387243118 0.00116186800416074 0.000688444138647608 30 3.52904206673877 0.193722553388551 1.66602891689313 1.511063824792 "P13798"
"APLP1" 0.544051682890367 0.415443623263842 1.30956801940091 0.483329398285098 2.13580664051672 75 -0.558121985034084 -3.52251932321922 -3.50004200578472 0.00139101796992146 0.00133670242999101 0.00113998178893489 0.00105418972438893 30 3.52904206673877 0.193722553388551 0.172593404110589 0.174817316636569 "P51693"
"APLP2" 1.22008212616709 0.629313089388479 1.93875218351596 1.03917836529396 2.83832600173797 97 -1.25163597425762 -5.2149196744226 -5.36103732164252 1.26962674889425e-05 6.07213716943449e-06 6.88711013304268e-05 3.40740687425239e-05 30 3.52904206673877 0.193722553388551 0.396034964475671 0.374740917126252 "Q06481"
