"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"protein"	"Gene"
2.22750164988925	5.4581831755307	5.71371753830886	6.38924258163e-06	2.12544985205553e-06	4.676134956138e-05	2.10434423068608e-05	30	3.52904206673877	0.193722553388551	1.14501864459539	1.04489159899979	"P23526"	"AHCY"
1.55707667998993	5.50993485619949	5.70775627035583	5.52173985362343e-06	2.16347695318174e-06	4.676134956138e-05	2.10434423068608e-05	30	3.52904206673877	0.193722553388551	0.549034676414508	0.511636905655505	"P28066"	"PSMA5"
1.56750863897933	5.45495239111958	5.65450348141042	6.44772896120493e-06	2.53490854706058e-06	4.676134956138e-05	2.31152227341681e-05	30	3.52904206673877	0.193722553388551	0.567689235737837	0.528328011192786	"P31946"	"YWHAB"
2.30666442795496	5.3712888881903	5.62807961883888	8.16440936063738e-06	2.74228617180933e-06	5.19483510639419e-05	2.35352936748022e-05	30	3.52904206673877	0.193722553388551	1.26789858446007	1.15483802063041	"P26447"	"S100A4"
1.34364419057686	5.43106254132902	5.59219581660344	6.89720535001653e-06	3.05137408188404e-06	4.676134956138e-05	2.47331093414022e-05	30	3.52904206673877	0.193722553388551	0.420796047736245	0.396895814851592	"P04075"	"ALDOA"
1.57525778819556	5.36295007115473	5.56374687428142	8.35884837472715e-06	3.32102351879254e-06	5.19483510639419e-05	2.4847025828415e-05	30	3.52904206673877	0.193722553388551	0.59315536928667	0.551113750342276	"P25789"	"PSMA4"
-0.576229992045955	-6.17419327309209	-5.55525613250962	8.57687177961476e-07	3.40603132326636e-06	1.82754230356135e-05	2.4847025828415e-05	30	3.52904206673877	0.193722553388551	0.0598830593845311	0.0739701067744048	"Q92820"	"GGH"
1.53954755131159	5.33453163436114	5.5305965387033	9.0570291691081e-06	3.66546634610546e-06	5.40358912363937e-05	2.54662918108253e-05	30	3.52904206673877	0.193722553388551	0.572619755690082	0.532739577687079	"P63104"	"YWHAZ"
2.06705351011972	5.19606966648817	5.43655321228822	1.33905515184002e-05	4.84972388403328e-06	6.88711013304268e-05	3.07915174443851e-05	30	3.52904206673877	0.193722553388551	1.0879932746756	0.993868337011322	"P00352"	"ALDH1A1"
1.53016207038757	5.24124680853975	5.43625453907749	1.17864604222057e-05	4.85403785045865e-06	6.76155547196307e-05	3.07915174443851e-05	30	3.52904206673877	0.193722553388551	0.585973998632329	0.544688242592863	"P50395"	"GDI2"
2.6198905849349	5.13024680099797	5.38946438157568	1.61266232258497e-05	5.57948591818176e-06	7.80939352303488e-05	3.29013516683207e-05	30	3.52904206673877	0.193722553388551	1.79292653336161	1.62460504933628	"P06703"	"S100A6"
-0.674286822675474	-5.65802968401894	-5.38598046934663	3.63862854915246e-06	5.63764830114733e-06	4.17475440389402e-05	3.29013516683207e-05	30	3.52904206673877	0.193722553388551	0.0976408618913008	0.107753776255579	"P43251"	"BTD"
-1.25163597425762	-5.2149196744226	-5.36103732164252	1.26962674889425e-05	6.07213716943449e-06	6.88711013304268e-05	3.40740687425239e-05	30	3.52904206673877	0.193722553388551	0.396034964475671	0.374740917126252	"Q06481"	"APLP2"
-0.741610854560987	-5.46883603551607	-5.32178626492064	6.20014046775322e-06	6.82455859586892e-06	4.676134956138e-05	3.68779331166574e-05	30	3.52904206673877	0.193722553388551	0.126425608463965	0.133508833482119	"P15289"	"ARSA"
2.91851528674323	5.0433374271374	5.30553492129452	2.06132879647085e-05	7.1627059797077e-06	8.30963805203259e-05	3.7322855418149e-05	30	3.52904206673877	0.193722553388551	2.30229301395412	2.08035903083563	"P62826"	"RAN"
1.49463357474006	5.05405472321873	5.24459394274118	1.999874037123e-05	8.58650984123047e-06	8.28584304972273e-05	4.31990746053857e-05	30	3.52904206673877	0.193722553388551	0.601259969093564	0.558365314336346	"P07195"	"LDHB"
1.79922404906402	4.99937242818736	5.21888987017077	2.33380022885552e-05	9.26867744341846e-06	8.49016992561914e-05	4.50767175390137e-05	30	3.52904206673877	0.193722553388551	0.890455490029116	0.817122054561654	"P52209"	"PGD"
-0.527211494559711	-5.83725726001659	-5.20371389405882	2.1991891724486e-06	9.69653976926965e-06	3.01238043047726e-05	4.56363454246247e-05	30	3.52904206673877	0.193722553388551	0.0560821655870691	0.0705692695629839	"P08174"	"CD55"
1.60880172871567	4.97675107874743	5.17982385211618	2.48771516571933e-05	1.04103225255304e-05	8.62916472093218e-05	4.74646164634223e-05	30	3.52904206673877	0.193722553388551	0.718432404129977	0.663204964812955	"P34932"	"HSPA4"
2.09986206763896	4.90508711202642	5.13930422548615	3.04538942765642e-05	1.1742687000242e-05	9.6645478107667e-05	5.04123414560418e-05	30	3.52904206673877	0.193722553388551	1.25997169842023	1.14774546544431	"P22392"	"NME2"
1.96483844740359	4.91125980824256	5.13915503796443	2.99280617889874e-05	1.17478939310151e-05	9.6645478107667e-05	5.04123414560418e-05	30	3.52904206673877	0.193722553388551	1.10037465727929	1.00494653833217	"P10599"	"TXN"
0.781666424763307	5.12796506872057	5.07150943344045	1.62308939684114e-05	1.43622947340282e-05	7.80939352303488e-05	5.97726280119509e-05	30	3.52904206673877	0.193722553388551	0.15974434836038	0.163320666307609	"P00338"	"LDHA"
3.25484502014176	4.80601172915092	5.06257084510463	4.02707153030116e-05	1.47485417546311e-05	0.00012513669122663	5.97726280119509e-05	30	3.52904206673877	0.193722553388551	3.15328829404034	2.84178425592169	"P00918"	"CA2"
1.00611306465756	4.9479172161967	5.03300041111183	2.69866754478793e-05	1.61014978654828e-05	9.14814986706731e-05	6.34921924888566e-05	30	3.52904206673877	0.193722553388551	0.284263716530575	0.274733961017022	"P61981"	"YWHAG"
-0.788409803390376	-5.06586570700232	-5.02287002674285	1.93426544173341e-05	1.65928443797203e-05	8.28584304972273e-05	6.37078594040095e-05	30	3.52904206673877	0.193722553388551	0.166521145101588	0.169384182880245	"P05067"	"APP"
